Product Name,Description,Price,Images
MAQUETTE BATEAU : PIRATES DES CARAÏBES LA VENGEANCE DE SALAZAR : BLACK PEARL - Revell,"Maquette de bateau en plastique à assembler. Cette édition limitée représente la célèbre trois-mats du capitaine Jack Sparrow tel qu'il apparaît dans le cinquième volet de la saga Pirates des Caraïbes, La vengeance de Salazar. Nombre de pièces : 895. Niveau de difficulté : 5/5. Dimensions de la maquette assemblée : L50 x H47 cm. Peintures Revell recommandées : 36106 / 36109 / 36178 / 36189 / 36192 / 36194 / 36371 / 36181.

Référence Revell-05699
Marque Revell
Code Article ART0000162501
Personnage Pirates des Caraïbes
Age recommandé + de 15 ans
Echelle 1:72
Matière Plastique
Dimension article 50 cm
Dimension emballage 60 x 43 x 11 cm
Poids 1810 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",147€99,"150142/p1_FULL.jpg, 150142/p2_FULL.jpg, 150142/p3_FULL.jpg, 150142/p4_FULL.jpg, 150142/p5_FULL.jpg"
MAQUETTE BATEAU EN BOIS : RED DRAGON JONQUE CHINOISE - Artesania,"Maquette en bois - Red Dragon Jonque Chinoise. Durant des siècles, d'immenses flotilles de jonques ont sillonné les rivières, ports et mers d'Extrème-Orient. Ces jonques étaient utilisées à la fois pour la guerre et pour le commerce. Des pièces prédécoupées en bois, laiton et fonte ainsi que les accessoires nécessaires à l'assemblage du modèle sont inclus dans la boîte. Les instructions de montage sont également jointes. Dimensions de la maquette assemblée : Largeur : 13.00 cm Longueur : 48.00 cm Hauteur : 44.00 cm

Référence Artesania-18020
Marque Artesania
Code Article ART0000064377
Age recommandé + de 15 ans
Echelle 1:60
Matière Maquettes en Bois
Dimension emballage 52 x 30 x 7 cm
Poids 1499 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",126€99,"50251/p1.jpg, 50251/p2_FULL.jpg, 50251/p3_FULL.jpg, 50251/p4_FULL.jpg"
MAQUETTE BATEAU EN BOIS : MARINA II - Artesania,"Maquette en bois - Marina II. C'est un thonier pour la pêche au bonite dans le golfe de Gascogne. Les lignes d'eau des bateaux changent en fonction des mers sur lesquelles ils vont naviguer. Les bateaux qui naviguent sur les eaux du Golfe de Gascogne ont une forme différente des méditerrannéens. La structure de la partie du dessus est très particulière aussi car la pêche est classée en fonction de la taille des poissons au fur et à mesure qu'elle se produit et elle est dirigée vers des compartiments qui s'adaptent suivant les besoins qu'il y a sur le pont. Largeur : 15.70 cm Longueur : 61.00 cm

Référence Artesania-20506
Marque Artesania
Code Article ART0000064519
Age recommandé + de 15 ans
Echelle 1:50
Matière Maquettes en Bois
Dimension emballage 30 x 62 x 6 cm
Poids 3523 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",156€99,50279/p1.jpg
MAQUETTE BATEAU EN BOIS : LE SOLEIL ROYAL - Artesania,"Construisez l'impressionnante maquette de bateau en bois à l'échelle 1/72 du navire de guerre français du roi Louis XIV, le Soleil Royal du 17ème siècle.
Le modèle en bois du Soleil Royal de la marque Artesania comprend des centaines de pièces de contreplaqué et de bois massif découpées au laser, ainsi que toutes les pièces die-cast et photodécoupes, et un ensemble complet de voiles pré-cousues à la main prêt à être placé. Tout cela confère au navire, sans aucun doute, une beauté spectaculaire.
Le modéliste expert, à qui s'adresse cette éblouissante maquette du Soleil Royal, trouvera également des pièces en bois de qualité Premium et... Deux bonus gratuits inclus ! Un base d'exposition en bois avec une plaque nominative en métal et un set de douze figurines de l'équipage du Soleil Royal à assembler et à peindre, qui donneront à ce bijou naval encore plus de réalisme que vous avoir sans ceux-ci.
Les instructions sont au format DVD pour ordinateur (Windows et Mac).
Aucune instruction imprimée n'est incluse.
Une fois construit, ce magnifique modèle réduit mesure 935 mm de long, 285 mm de large et 875 mm de haut.

Référence Artesania-22904
Marque Artesania
Code Article ART0000207184
Age recommandé + de 15 ans
Echelle 1:72
Matière Maquettes en Bois
Dimension article 93,50 x 28,50 x 87,50 cm
Dimension emballage 35 x 62 x 9 cm
Poids 5560 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",780€99,"460230/p1_FULL.jpg, 460230/p2_FULL.jpg, 460230/p3_FULL.jpg, 460230/p4_FULL.jpg, 460230/p5_FULL.jpg, 460230/p6_FULL.jpg, 460230/p7_FULL.jpg, 460230/p8_FULL.jpg, 460230/p9_FULL.jpg, 460230/p10_FULL.jpg, 460230/p11_FULL.jpg"
MAQUETTE BATEAU : JUAN SEBASTIÁN ELCANO (PLASTIQUE ET BOIS) - Artesania,"Construisez votre maquette à l'échelle 1/250 du Juan Sebastián Elcano, un illustre navire-école de la marine espagnole, de la marque Artesania. Cette maquette à l'échelle 1/250 s'adresse aux modélistes débutants.
Ce kit de modélisme est parfait pour l'initiation au modélisme naval car la notice est très complète puisqu'elle est présentée en vidéos et en format DVD. Le casque en plastique préformé est fourni pour une plus grande facilité de montage et de nouveaux détails photodécoupés sont inclus. Mais le modèle du navire-école Juan Sebastián Elcano comprend également des pièces de carton découpés au laser, des bois durs, du plastique, du laiton, de la fonte et des voiles. Une autre grande nouveauté est qu'il comprend la figure de proue, le drapeau et la plaque signalétique pour construire le grand voilier Esmeralda, qui est un navire école exactement comme Elcano mais de la Marine Chilienne
Une fois terminé, le modèle mesure 455 mm de long, 255 mm de haut et 110 mm de large.

Référence Artesania-22260
Marque Artesania
Code Article ART0000207183
Age recommandé + de 15 ans
Echelle 1:250
Matière Plastique
Dimension article 45 x 11 x 25,50 cm
Dimension emballage 26 x 42 x 6 cm
Poids 818 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",68€99,"460228/p1_FULL.jpg, 460228/p2_FULL.jpg, 460228/p3_FULL.jpg, 460228/p4_FULL.jpg, 460228/p5_FULL.jpg, 460228/p6_FULL.jpg"
MAQUETTE BATEAU EN BOIS : NAVIRE VIKING - Amati,"Assemblez cette sublime maquette de bateau en bois de la marque Amati reproduisant un navire viking.
L'or étincelait sur les proues et l'argent scintillait sur chaque navire. La flotte était magnifique et si le chef avait voulu conquérir des peuples entiers, la seule vue de ses navires aurait suffi pour terroriser l'ennemi.” Baptisé “Ormen Lange” (Long Serpent) par le roi Olaf Tryggvesso, le drakkar était le navire de guerre le plus célèbre de son époque. Orné d'une figure de proue en tête de dragon, il pouvait atteindre des dimensions considérables (jusqu'à 48 m de longueur).
Protégé par de très hauts bastingages, avec des rangées de bordés superposées, le drakkar se devait d'être léger et extrêmement maniable.
Caractéristiques :
Quille, membrures et ponts prédécoupés
Bordés extérieurs en bois prédécoupé
Caillebotis des ponts ; mât et vergue
Figure de proue et accessoires en bois et résine
Toile de bâche pour la voile.
Échelle : 1/50.
Longueur de la maquette assemblée : 44 cm.
Notice en français incluse

Référence Amati-B1406.01
Marque Amati
Code Article ART0000191808
Age recommandé + de 15 ans
Echelle 1:50
Dimension article 44 cm
Dimension emballage 27 x 59 x 7 cm
Poids 980 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",118€99,"372606/p1_FULL.jpg, 372606/p2_FULL.jpg, 372606/p3_FULL.jpg, 372606/p4_FULL.jpg, 372606/p5_FULL.jpg, 372606/p6_FULL.jpg, 372606/p7_FULL.jpg"
MAQUETTE BATEAU EN BOIS : SAN FRANCISCO II - Artesania,"Amusez-vous à construire la maquette en bois du galion espagnol San Francisco II à l'échelle 1/90 du XVIe et XVIIe siècles de la marque Artesania !
Merveilleux kit de modélisme destiné aux modélistes avec niveau initié comprenant 1400 pièces de grande qualité.
Entièrement redessiné en utilisant les meilleurs logiciels 3D, ce kit de modélisme naval contient des pièces de haute qualité: structure en contreplaqué de bouleau découpée au laser, bois de bouleau et de sapelli, riche et complet accastillage (en bois, laiton, métal injecté et photo-découpé), voiles cousues et drapeaux... Le tout conférant un très grand réalisme. En cadeau, base d'exposition avec une plaque en laiton contenant le nom du modèle et 5 figurines en métal à peindre font du nouveau San Francisco II un véritable modèle de prestige.
Comprend une notice multimédia sous format DVD pour ordinateur ou portable (Windows et Mac) avec plus de 1 000 photos de montage pas à pas et plus de 20 vidéos tutoriels vous montrant diverses techniques et offrant de précieux conseils. Le kit n'inclut pas d'instructions imprimées.
Dimensions de la maquette assemblée : 680 x 240 x 520 mm.

Référence Artesania-22452-N
Marque Artesania
Code Article ART0000207185
Age recommandé + de 15 ans
Echelle 1:90
Matière Maquettes en Bois
Dimension article 68 x 24 x 52 cm
Dimension emballage 30 x 54 x 6 cm
Poids 1849 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",156€99,"460232/p1_FULL.jpg, 460232/p2_FULL.jpg, 460232/p3_FULL.jpg, 460232/p4_FULL.jpg, 460232/p5_FULL.jpg, 460232/p6_FULL.jpg, 460232/p7_FULL.jpg, 460232/p8_FULL.jpg, 460232/p9_FULL.jpg, 460232/p10_FULL.jpg, 460232/p11_FULL.jpg"
MAQUETTE BATEAU EN BOIS : ESSEX - OCCRE,"Assemblez cette superbe maquette en bois du baleinier Essex livrée avec voiles de la marque Occre et plongez dans la tragédie qui a inspiré le roman universel: ""Moby Dick"".
En novembre 1820, le naufrage du baleinier Essex et la survie d'une partie de son équipage bouleversèrent la population des États-Unis. Ce bateau était parti un an plus tôt de Nantucket pour une nouvelle campagne de chasse à la baleine qui devait durer deux ans et demi dans le Pacifique sud. Commandé par le capitaine George Pollard, le baleinier Essex fut attaqué à plusieurs reprises par une grande baleine avant de couler à 3 700 km des côtes d'Amérique du Sud. Seuls huit des 21 membres de l'équipage purent être sauvés. Herman Melville s'inspira de ce naufrage tragique pour écrire Moby Dick, une des grandes oeuvres de la littérature universelle. Le titre du roman provient du nom d'une baleine réelle, « Mocha Dick "", qui fut aperçue au XIXe siècle, à proximité de l'île Mocha, au sud du Chili.
Longueur de la maquette : 73.5 cm.
Largeur de la maquette : 22.5 cm.
Hauteur de la maquette : 55.2 cm.
Niveau de difficulté : Moyenne.
Échelle : 1/60.

Référence Occre-12006
Marque OCCRE
Code Article ART0000190760
Age recommandé + de 15 ans
Provenance Europe
Echelle 1:60
Matière Maquettes en Bois
Dimension article 73,50 x 22,50 x 55,20 cm
Dimension emballage 24 x 62 x 7 cm
Poids 1790 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",146€99,"358217/p1_FULL.jpg, 358217/p2_FULL.jpg, 358217/p3_FULL.jpg, 358217/p4_FULL.jpg, 358217/p5_FULL.jpg, 358217/p6_FULL.jpg, 358217/p7_FULL.jpg, 358217/p8_FULL.jpg, 358217/p9_FULL.jpg, 358217/p10_FULL.jpg"
MAQUETTE BATEAU EN BOIS : SULTAN DHOW ARABE - Artesania,"Maquette en bois - Sultan Dhow Arabe. Ce magnifique modèle est un bateau traditionnel utilisé le long des côtes de la Péninsule Arabique, l'Inde et l'Afrique de l'Est. Jusqu'aux années 1960, les dhows commencaient entre le Golfe Persique et la Corne Africaine en utilisant uniquement leurs voiles latines gonflées par les vents de la mousson. Largeur : 12.50 cm Longueur : 39.00 cm

Référence Artesania-22165
Marque Artesania
Code Article ART0000064765
Age recommandé + de 15 ans
Echelle 1:85
Matière Maquettes en Bois
Dimension emballage 43 x 31 x 4 cm
Poids 1050 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",79€99,50333/p1.jpg
MAQUETTE BATEAU : CANNOT BOUNTY - OCCRE,"Plongez-vous dans l'univers du modélisme naval. Partez à la conquête de ce merveilleux bateau/b] grâce à cette [b]maquette en kit. Suite à la mutinerie déclenchée à bord de la Bounty, le capitaine Bligh et 18 marins embarquèrent dans un canot et réussirent l'exploit d'atteindre l'île de Timor après avoir navigué dans les pires conditions pendant 41 jours. Vous arriverez petit à petit à reproduire une maquette fidèle à l'original et avec tous les détails important du bateau. Laissez-vous envoûter par la création de cette merveilleuse maquette du cannot Bounty. Nous espérons que vous éprouverez un réel plaisir à pratiquer votre hobby de modélisme naval avec le cannot Bounty. Niveau de difficulté : Facile. Échelle : 1/24.

Référence Occre-52003
Marque OCCRE
Code Article ART0000187348
Age recommandé + de 15 ans
Provenance Europe
Echelle 1:24
Matière Maquettes en Bois
Dimension article 43,50 x 10 x 26 cm
Dimension emballage 24 x 47 x 6 cm
Poids 650 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",64€99,"199097/p1_FULL.jpg, 199097/p2_FULL.jpg, 199097/p3_FULL.jpg, 199097/p4_FULL.jpg, 199097/p5_FULL.jpg"
MAQUETTE BATEAU EN BOIS : MARE NOSTRUM - Artesania,"Maquette en bois - Mare Nostrum. Le Mare Nostrum est un bateau de pêche typique de la Méditerrannée, et plus particulièrement de la Costa Brava. Son montage simple et sa beauté font du Mare Nostrum un modèle idéal pour tout débutant ou nostalgique. Largeur : 10.50 cm Longueur : 41.00 cm

Référence Artesania-20100-N
Marque Artesania
Code Article ART0000064436
Age recommandé + de 15 ans
Echelle 1:35
Matière Maquettes en Bois
Dimension emballage 44 x 36 x 5 cm
Poids 1032 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",79€99,"50264/p1_FULL.jpg, 50264/p2_FULL.jpg, 50264/p3_FULL.jpg"
